VERSION_INDEX,NAME,LOC,LOC_TOUCHED,LOC_ADDED,MAX_LOC_ADDED,AVERAGE_LOC_ADDED,NUMBER_OF_REVISIONS,NUMBER_OF_FIX,NUMBER_OF_AUTHORS,CHURN,MAX_CHURN,AVERAGE_CHURN,MAX_CHANGE_SET_SIZE,AVERAGE_CHANGE_SET_SIZE,AGE_IN_WEEKS,WEIGHTED_AGE_IN_WEEKS,IS_BUGGY
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,347,242,137,60,4,0,2,137,137,34,281,139,35.142857142857146,0.1012762453684644,false
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,436,340,252,68,5,0,2,244,252,48,281,112,35.142857142857146,0.08060288335517694,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1466,1246,545,83,15,0,3,1026,545,68,281,53,35.142857142857146,0.023971935295264084,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,150,121,81,30,4,0,3,92,81,23,281,149,35.142857142857146,0.23428571428571432,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,210,195,168,39,5,0,2,180,168,36,281,114,35.142857142857146,0.1673469387755102,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,795,633,487,63,10,0,3,471,487,47,281,75,35.142857142857146,0.044204851752021566,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,216,210,124,35,6,0,3,204,124,34,281,114,35.142857142857146,0.1626984126984127,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,691,621,536,77,8,0,3,551,536,68,281,93,35.142857142857146,0.05085796981600166,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,187,168,133,28,6,0,3,149,133,24,281,122,35.142857142857146,0.18792971734148206,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,171,164,151,41,4,0,3,157,151,39,281,153,35.142857142857146,0.2055137844611529,false
