DATASET_NAME,NUMBER_OF_TRAINING_RELEASES,PERCENTAGE_TRAINING,PERCENTAGE_DEFECTIVE_TRAINING,PERCENTAGE_DEFECTIVE_TESTING,CLASSIFIER,BALANCING,FEATURE_SELECTION,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,ROC_AREA,KAPPA
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,IBK,NO_SAMPLING,NO_SELECTION,49.0,57.0,182.0,13.0,0.46226415094339623,0.7903225806451613,0.7759144283978945,0.43699230440359144
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,IBK,NO_SAMPLING,NO_SELECTION,41.0,79.0,241.0,78.0,0.3416666666666667,0.3445378151260504,0.5488314075630252,0.09740574376972555
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,IBK,NO_SAMPLING,NO_SELECTION,47.0,72.0,259.0,61.0,0.3949579831932773,0.4351851851851852,0.6088312632874566,0.21044233187737493
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,IBK,NO_SAMPLING,NO_SELECTION,97.0,11.0,126.0,206.0,0.8981481481481481,0.3201320132013201,0.6199200211992002,0.17255962285080426
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,IBK,NO_SAMPLING,NO_SELECTION,273.0,33.0,138.0,2.0,0.8921568627450981,0.9927272727272727,0.896969696969697,0.8281329134829234
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,IBK,NO_SAMPLING,NO_SELECTION,275.0,2.0,133.0,42.0,0.9927797833935018,0.8675078864353313,0.9263465358102582,0.7858511898352535
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,IBK,OVER_SAMPLING,NO_SELECTION,49.0,71.0,168.0,13.0,0.4083333333333333,0.7903225806451613,0.7376501552166285,0.3663475515011778
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,IBK,OVER_SAMPLING,NO_SELECTION,48.0,91.0,229.0,71.0,0.34532374100719426,0.40336134453781514,0.5803046218487395,0.11302070341731107
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,IBK,OVER_SAMPLING,NO_SELECTION,51.0,79.0,252.0,57.0,0.3923076923076923,0.4722222222222222,0.6099082466151953,0.21855448810240558
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,IBK,OVER_SAMPLING,NO_SELECTION,118.0,20.0,117.0,185.0,0.855072463768116,0.38943894389438943,0.6188239261882392,0.18305981233923846
