DATASET_NAME,NUMBER_OF_TRAINING_RELEASES,PERCENTAGE_TRAINING,PERCENTAGE_DEFECTIVE_TRAINING,PERCENTAGE_DEFECTIVE_TESTING,CLASSIFIER,BALANCING,FEATURE_SELECTION,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,ROC_AREA,KAPPA
openjpa,1,3.7943359912015397,2.691511387163561,6.940371456500489,IBK,NO_SAMPLING,NO_SELECTION,26.0,1.0,951.0,45.0,0.9629629629629629,0.36619718309859156,0.6825733814652621,0.5119477286869949
openjpa,2,7.812561373188263,4.876822523881348,8.31858407079646,IBK,NO_SAMPLING,NO_SELECTION,30.0,44.0,992.0,64.0,0.40540540540540543,0.3191489361702128,0.6396533311426928,0.3063071256423087
openjpa,3,12.251070348403314,6.123757614620071,5.146476642913697,IBK,NO_SAMPLING,NO_SELECTION,31.0,64.0,1134.0,34.0,0.3263157894736842,0.47692307692307695,0.7165532297418775,0.34763084383070686
openjpa,4,17.21198790211713,5.842081241442264,2.4566473988439306,IBK,NO_SAMPLING,NO_SELECTION,23.0,42.0,1308.0,11.0,0.35384615384615387,0.6764705882352942,0.8237581699346406,0.44680080847084375
openjpa,5,22.648179425743354,5.0294831772459245,1.8013856812933025,IBK,NO_SAMPLING,NO_SELECTION,24.0,20.0,2106.0,15.0,0.5454545454545454,0.6153846153846154,0.8095978966157705,0.5701026307279459
openjpa,6,31.152048391531483,4.148278905560459,2.4367816091954024,IBK,NO_SAMPLING,NO_SELECTION,22.0,18.0,2104.0,31.0,0.55,0.41509433962264153,0.7033058880017072,0.46183755396773196
openjpa,7,39.695196197808244,3.7799327132396594,3.0990173847316704,IBK,NO_SAMPLING,NO_SELECTION,38.0,10.0,1272.0,3.0,0.7916666666666666,0.926829268292683,0.9595144781401013,0.8488810396183143
openjpa,8,44.89178679445382,3.7011112083296878,2.0841227737779464,IBK,NO_SAMPLING,NO_SELECTION,32.0,15.0,2569.0,23.0,0.6808510638297872,0.5818181818181818,0.7909196453701097,0.6201554498348539
openjpa,9,55.25747279940296,3.3977822007392664,1.8313458262350937,IBK,NO_SAMPLING,NO_SELECTION,41.0,8.0,2297.0,2.0,0.8367346938775511,0.9534883720930233,0.9750088281289411,0.8891417455925833
openjpa,10,64.480144546133,3.1737329434697856,0.5662020905923345,IBK,NO_SAMPLING,NO_SELECTION,4.0,45.0,2238.0,9.0,0.08163265306122448,0.3076923076923077,0.6439907004952997,0.12116701399226208
openjpa,11,73.49856632232216,2.8537836682342883,1.108998732572877,IBK,NO_SAMPLING,NO_SELECTION,8.0,10.0,3111.0,27.0,0.4444444444444444,0.22857142857142856,0.6380189499702477,0.29658811623536063
openjpa,12,85.89496838053341,2.601975489299433,1.1417432470064048,IBK,NO_SAMPLING,NO_SELECTION,8.0,27.0,3523.0,33.0,0.22857142857142856,0.1951219512195122,0.5970456887667468,0.20213593239670072
openjpa,1,3.7943359912015397,2.691511387163561,6.940371456500489,IBK,OVER_SAMPLING,NO_SELECTION,27.0,4.0,948.0,44.0,0.8709677419354839,0.38028169014084506,0.6778316960587052,0.5086848635235739
openjpa,2,7.812561373188263,4.876822523881348,8.31858407079646,IBK,OVER_SAMPLING,NO_SELECTION,35.0,77.0,959.0,59.0,0.3125,0.3723404255319149,0.6595847367123963,0.2741493642666866
openjpa,3,12.251070348403314,6.123757614620071,5.146476642913697,IBK,OVER_SAMPLING,NO_SELECTION,37.0,82.0,1116.0,28.0,0.31092436974789917,0.5692307692307692,0.784088866058816,0.35953937359972704
openjpa,4,17.21198790211713,5.842081241442264,2.4566473988439306,IBK,OVER_SAMPLING,NO_SELECTION,23.0,65.0,1285.0,11.0,0.26136363636363635,0.6764705882352942,0.8119498910675381,0.35416052657432057
openjpa,5,22.648179425743354,5.0294831772459245,1.8013856812933025,IBK,OVER_SAMPLING,NO_SELECTION,24.0,48.0,2078.0,15.0,0.3333333333333333,0.6153846153846154,0.7826482861760379,0.41885137985249093
openjpa,6,31.152048391531483,4.148278905560459,2.4367816091954024,IBK,OVER_SAMPLING,NO_SELECTION,22.0,31.0,2091.0,31.0,0.41509433962264153,0.41509433962264153,0.6950233848451977,0.40048548005619367
openjpa,7,39.695196197808244,3.7799327132396594,3.0990173847316704,IBK,OVER_SAMPLING,NO_SELECTION,38.0,18.0,1264.0,3.0,0.6785714285714286,0.926829268292683,0.9729272097713176,0.7754709509532154
openjpa,8,44.89178679445382,3.7011112083296878,2.0841227737779464,IBK,OVER_SAMPLING,NO_SELECTION,32.0,27.0,2557.0,23.0,0.5423728813559322,0.5818181818181818,0.7479031804109203,0.5517332753536541
openjpa,9,55.25747279940296,3.3977822007392664,1.8313458262350937,IBK,OVER_SAMPLING,NO_SELECTION,42.0,15.0,2290.0,1.0,0.7368421052631579,0.9767441860465116,0.9793472229228674,0.836588400073076
openjpa,10,64.480144546133,3.1737329434697856,0.5662020905923345,IBK,OVER_SAMPLING,NO_SELECTION,4.0,49.0,2234.0,9.0,0.07547169811320754,0.3076923076923077,0.5950672192459314,0.113147484649503
openjpa,11,73.49856632232216,2.8537836682342883,1.108998732572877,IBK,OVER_SAMPLING,NO_SELECTION,10.0,28.0,3093.0,25.0,0.2631578947368421,0.2857142857142857,0.6707099372911612,0.26549216609288445
openjpa,12,85.89496838053341,2.601975489299433,1.1417432470064048,IBK,OVER_SAMPLING,NO_SELECTION,8.0,38.0,3512.0,33.0,0.17391304347826086,0.1951219512195122,0.564163517691515,0.1739344554423325
